,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
256,0,0.0,2082,4.598800329997175,"[2, 2, 1, 0, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 2, 1, 0, 2, 1, 0, 2, 2, 1, 0, 0, 2, 2, 2, 0, 1, 1, 0, 1, 2, 1]",100,80,26
257,80,0.0,2162,4.777529609000339,"[2, 2, 1, 0, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 1, 0, 2, 2, 1, 0, 2, 1, 0, 2, 2, 1, 0, 0, 2, 2, 2, 0, 1, 1, 0, 1, 2, 1]",100,80,26
258,0,0.0,2162,4.839182662999519,"[0, 0, 2, 2, 0, 1, 1, 1, 0, 1, 2, 2, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 2, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 2]",100,80,27
259,80,0.0,2242,5.023800450999261,"[0, 0, 2, 2, 0, 1, 1, 1, 0, 1, 2, 2, 0, 2, 0, 1, 1, 1, 2, 0, 1, 0, 1, 2, 2, 0, 2, 2, 0, 1, 2, 0, 2, 2, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2, 1, 2, 1, 2, 0, 2]",100,80,27
260,0,0.0,2242,5.085810846998356,"[2, 0, 2, 0, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 2, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2]",100,80,28
261,80,0.0,2322,5.2729470069971285,"[2, 0, 2, 0, 0, 1, 1, 0, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 0, 2, 0, 1, 0, 2, 2, 1, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 2, 1, 1, 2, 2, 2, 1, 1, 2, 2, 2]",100,80,28
262,0,0.0,2322,5.335611095997592,"[2, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 2, 2, 0, 1, 2, 0, 2, 1, 0, 0, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1]",100,80,29
263,80,0.0,2402,5.533919805999176,"[2, 0, 2, 0, 0, 0, 0, 2, 1, 1, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 2, 0, 2, 2, 0, 1, 2, 0, 2, 1, 0, 0, 0, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1]",100,80,29
264,0,0.0,2402,5.597185370999796,"[0, 0, 0, 1, 0, 1, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 1, 2, 2, 1, 0, 2, 2, 0, 0, 1]",100,80,30
265,80,0.0,2482,5.7968663399988145,"[0, 0, 0, 1, 0, 1, 0, 2, 2, 2, 2, 1, 0, 2, 1, 2, 2, 1, 1, 0, 0, 2, 2, 0, 0, 1, 0, 0, 2, 0, 2, 0, 1, 0, 0, 0, 2, 1, 0, 2, 1, 2, 2, 1, 0, 2, 2, 0, 0, 1]",100,80,30
266,0,0.0,2482,5.859737570997822,"[0, 0, 2, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 0, 1, 1, 2, 2, 2, 1, 2, 2, 0, 2, 0, 0, 2, 0, 1, 1, 2, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0]",100,80,31
