,Iteration,Time,Fitness,FEvals,Temperature,max_iters
90,9,0.008607997999206418,0.0,18.0,10,80
91,10,0.008685623997735092,0.0,20.0,10,80
92,11,0.008813876997010084,0.0,22.0,10,80
93,12,0.008938382998167071,0.0,24.0,10,80
94,13,0.00902735300041968,0.0,26.0,10,80
95,14,0.009111343999393284,0.0,28.0,10,80
96,15,0.009194197999022435,0.0,30.0,10,80
97,16,0.009275614000216592,0.0,32.0,10,80
98,17,0.009358980998513289,0.0,34.0,10,80
99,18,0.009442326998396311,0.0,36.0,10,80
100,19,0.009525993998977356,0.0,38.0,10,80
101,20,0.009611563000362366,0.0,40.0,10,80
102,21,0.00969776299825753,0.0,42.0,10,80
103,22,0.0097850149977603,0.0,44.0,10,80
104,23,0.009886812997137895,0.0,46.0,10,80
105,24,0.00997295699926326,0.0,48.0,10,80
106,25,0.010060677999717882,0.0,50.0,10,80
107,26,0.010150332000193885,0.0,52.0,10,80
108,27,0.010239224997349083,0.0,54.0,10,80
109,28,0.010329538999940269,0.0,56.0,10,80
110,29,0.010420984999655047,0.0,58.0,10,80
111,30,0.010513552999327658,0.0,60.0,10,80
112,31,0.010606964999169577,0.0,62.0,10,80
113,32,0.010701166997023392,0.0,64.0,10,80
114,33,0.010795173999213148,0.0,66.0,10,80
115,34,0.01088996599719394,0.0,68.0,10,80
116,35,0.010986338998918654,0.0,70.0,10,80
117,36,0.011084103000030154,0.0,72.0,10,80
118,37,0.01118197399773635,0.0,74.0,10,80
119,38,0.011281147999397945,0.0,76.0,10,80
120,39,0.011380676998669514,0.0,78.0,10,80
121,40,0.011481605997687439,0.0,80.0,10,80
122,41,0.011583090999920387,0.0,82.0,10,80
123,42,0.011687047997838818,0.0,84.0,10,80
124,43,0.011791470999014564,0.0,86.0,10,80
125,44,0.011897718999534845,0.0,88.0,10,80
