,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
77,77,1.6402233300032094,21.74195142770823,7879.0,True,100,0.1,80
78,78,1.6596028690000821,21.74195142770823,7980.0,True,100,0.1,80
79,79,1.6789158310020866,21.74195142770823,8081.0,True,100,0.1,80
80,80,1.697978010000952,21.74195142770823,8182.0,True,100,0.1,80
81,0,0.004557060001388891,0.0,100.0,True,100,0.25,80
82,1,0.043323842000972945,19.34473044324985,202.0,True,100,0.25,80
83,2,0.06813544500255375,21.74195142770823,304.0,True,100,0.25,80
84,3,0.08889406400339794,21.74195142770823,405.0,True,100,0.25,80
85,4,0.11109519200181239,21.74195142770823,506.0,True,100,0.25,80
86,5,0.1337598070022068,21.74195142770823,607.0,True,100,0.25,80
87,6,0.1559826240008988,21.74195142770823,708.0,True,100,0.25,80
