,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
133,52,0.029659904997970443,21.756103180813675,593.0,10,0.1,80
134,53,0.03010418299891171,21.756103180813675,604.0,10,0.1,80
135,54,0.030554547996871406,21.756103180813675,615.0,10,0.1,80
136,55,0.031015090997243533,21.756103180813675,626.0,10,0.1,80
137,56,0.03144831299869111,21.756103180813675,637.0,10,0.1,80
138,57,0.031960137999703875,21.756103180813675,648.0,10,0.1,80
139,58,0.03250549999938812,21.756103180813675,659.0,10,0.1,80
140,59,0.03297214999838616,21.756103180813675,670.0,10,0.1,80
141,60,0.0333994629982044,21.756103180813675,681.0,10,0.1,80
142,61,0.03382859900011681,21.756103180813675,692.0,10,0.1,80
143,62,0.03426853099881555,21.756103180813675,703.0,10,0.1,80
144,63,0.0347132459974091,21.756103180813675,714.0,10,0.1,80
145,64,0.0352375749971543,22.056014384832846,726.0,10,0.1,80
146,65,0.0360158359981142,22.056014384832846,737.0,10,0.1,80
147,66,0.036494924999715295,22.056014384832846,748.0,10,0.1,80
148,67,0.0369268149988784,22.056014384832846,759.0,10,0.1,80
149,68,0.03736473299795762,22.099529342409685,771.0,10,0.1,80
150,69,0.03779788599786116,22.099529342409685,782.0,10,0.1,80
151,70,0.03840128099909634,22.52707036076824,794.0,10,0.1,80
152,71,0.038976222997007426,22.52707036076824,805.0,10,0.1,80
153,72,0.03945702399869333,22.52707036076824,816.0,10,0.1,80
154,73,0.040079083999444265,22.812774129632682,828.0,10,0.1,80
155,74,0.04060123399904114,22.812774129632682,839.0,10,0.1,80
156,75,0.04108329499649699,22.812774129632682,850.0,10,0.1,80
157,76,0.04155165699921781,22.812774129632682,861.0,10,0.1,80
158,77,0.04203841899652616,22.812774129632682,872.0,10,0.1,80
159,78,0.04259539199847495,22.812774129632682,883.0,10,0.1,80
160,79,0.04304959499859251,22.812774129632682,894.0,10,0.1,80
161,80,0.0435032549976313,22.812774129632682,905.0,10,0.1,80
